"date","jpy_per_usd","twd_per_usd","twd_per_jpy","log_return_twd_per_jpy"
2021-06-30,111.05,27.91,0.25132823052679,-0.00540990542642716
2021-07-01,111.56,27.91,0.250179275726067,-0.00458201241885181
2021-07-02,111.28,27.94,0.251078360891445,0.00358732142468576
2021-07-05,,,,
2021-07-06,110.66,28,0.253027290800651,
2021-07-07,110.62,28.01,0.253209184595914,0.000718612000244923
2021-07-08,109.82,28.01,0.255053724276088,0.00725824271580566
2021-07-09,110.18,27.98,0.253948084951897,-0.00434435022852631
2021-07-12,110.36,28,0.253715114171801,-0.000917816366646118
2021-07-13,110.36,28,0.253715114171801,0
2021-07-14,110.03,27.99,0.254385167681541,0.00263748681942233
2021-07-15,110.05,27.89,0.253430258973194,-0.00376085397861403
2021-07-16,110.13,27.98,0.254063379642241,0.0024950893935558
2021-07-19,109.45,28.05,0.256281407035176,0.0086923249393509
2021-07-20,109.92,28.06,0.255276564774381,-0.0039285617995577
2021-07-21,110.22,28.06,0.25458174559971,-0.00272553998105018
2021-07-22,110.1,28.02,0.25449591280654,-0.000337209038999031
2021-07-23,110.52,28.03,0.253619254433587,-0.00345063205874552
2021-07-26,110.31,28.06,0.254374036805367,0.00297162557154351
2021-07-27,109.64,28.08,0.256110908427581,0.0068048170300008
2021-07-28,110.06,28,0.254406687261494,-0.0066764691794341
2021-07-29,109.53,27.91,0.254816032137314,0.00160772466898429
2021-07-30,109.7,27.96,0.254876937101185,0.000238986871849312
2021-08-02,109.22,27.92,0.255630836843069,0.00295353108573915
2021-08-03,109.09,27.9,0.255752131267761,0.000474378047490509
2021-08-04,109.44,27.77,0.25374634502924,-0.00787361177318657
2021-08-05,109.75,27.76,0.252938496583144,-0.00318876376114474
2021-08-06,110.22,27.86,0.252767192886953,-0.000677483786752697
2021-08-09,110.25,27.81,0.252244897959184,-0.00206844597765254
2021-08-10,110.54,27.84,0.251854532296001,-0.00154876485781608
2021-08-11,110.47,27.84,0.252014121480945,0.000633455520933301
2021-08-12,110.36,27.79,0.251812250815513,-0.000801350176708349
2021-08-13,109.75,27.84,0.253667425968109,0.00734028910561135
2021-08-16,109.26,27.84,0.254805052169138,0.0044746889877092
2021-08-17,109.59,27.85,0.254129026371019,-0.00265663560065521
2021-08-18,109.92,27.84,0.253275109170306,-0.00336582990581258
