"date","symbol","company","sector","adjusted","simple_return","log_return"
2019-10-03,"AAPL","Apple Inc.","Information Technology",54.085686,0.00849474265502197,0.00845886536435447
2019-10-04,"AAPL","Apple Inc.","Information Technology",55.601803,0.0280317605660025,0.0276460620479377
2019-10-07,"AAPL","Apple Inc.","Information Technology",55.614056,0.000220370551652816,0.000220346273628991
2019-10-08,"AAPL","Apple Inc.","Information Technology",54.962536,-0.0117150239860225,-0.0117841855631875
2019-10-09,"AAPL","Apple Inc.","Information Technology",55.606701,0.0117200741974497,0.0116519260783736
2019-10-10,"AAPL","Apple Inc.","Information Technology",56.356197,0.0134785194323972,0.0133884922426857
2019-10-11,"AAPL","Apple Inc.","Information Technology",57.855175,0.0265982816406153,0.0262506973073009
2019-10-14,"AAPL","Apple Inc.","Information Technology",57.771893,-0.00143949093577202,-0.00144052799819683
2019-10-15,"AAPL","Apple Inc.","Information Technology",57.637177,-0.0023318605814076,-0.00233458360225391
2019-10-16,"AAPL","Apple Inc.","Information Technology",57.404503,-0.00403687363105939,-0.00404504380079018
2019-10-17,"AAPL","Apple Inc.","Information Technology",57.627388,0.00388270934076383,0.00387519107938328
2019-10-18,"AAPL","Apple Inc.","Information Technology",57.904163,0.00480283784508841,0.00479134101631296
2019-10-21,"AAPL","Apple Inc.","Information Technology",58.908371,0.017342587267862,0.0171939209786487
2019-10-22,"AAPL","Apple Inc.","Information Technology",58.773663,-0.00228673782203218,-0.00228935639972683
2019-10-23,"AAPL","Apple Inc.","Information Technology",59.562347,0.0134190036785695,0.0133297662803047
2019-10-24,"AAPL","Apple Inc.","Information Technology",59.660316,0.00164481429853661,0.00164346307297247
2019-10-25,"AAPL","Apple Inc.","Information Technology",60.395107,0.0123162438495968,0.0122410159717443
2019-10-28,"AAPL","Apple Inc.","Information Technology",61.000088,0.0100170532026708,0.00996721506970832
2019-10-29,"AAPL","Apple Inc.","Information Technology",59.589287,-0.0231278518811317,-0.0233994972027309
2019-10-30,"AAPL","Apple Inc.","Information Technology",59.581936,-0.000123361100125261,-0.000123368709731508
2019-10-31,"AAPL","Apple Inc.","Information Technology",60.92905,0.0226094365245197,0.022357631593529
2019-11-01,"AAPL","Apple Inc.","Information Technology",62.658276,0.0283809775468353,0.0279856991039802
